,ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
136,2017,2017,0,Total,136136,18971.0,"Census Tract 5029.03, Santa Clara County, CA",14000US06085502903
139,2017,2017,0,Total,94659,16904.0,"Census Tract 5029.06, Santa Clara County, CA",14000US06085502906
143,2017,2017,0,Total,137399,13360.0,"Census Tract 5029.07, Santa Clara County, CA",14000US06085502907
146,2017,2017,0,Total,143015,9808.0,"Census Tract 5029.08, Santa Clara County, CA",14000US06085502908
149,2017,2017,0,Total,93326,11861.0,"Census Tract 5029.09, Santa Clara County, CA",14000US06085502909
153,2017,2017,0,Total,92610,9601.0,"Census Tract 5029.10, Santa Clara County, CA",14000US06085502910
156,2017,2017,0,Total,152159,28633.0,"Census Tract 5030.01, Santa Clara County, CA",14000US06085503001
159,2017,2017,0,Total,118792,24528.0,"Census Tract 5030.02, Santa Clara County, CA",14000US06085503002
163,2017,2017,0,Total,137031,19679.0,"Census Tract 5030.03, Santa Clara County, CA",14000US06085503003
166,2017,2017,0,Total,36250,11856.0,"Census Tract 5031.05, Santa Clara County, CA",14000US06085503105
169,2017,2017,0,Total,93750,28184.0,"Census Tract 5031.08, Santa Clara County, CA",14000US06085503108
173,2017,2017,0,Total,45290,3839.0,"Census Tract 5031.10, Santa Clara County, CA",14000US06085503110
176,2017,2017,0,Total,93167,12557.0,"Census Tract 5031.11, Santa Clara County, CA",14000US06085503111
179,2017,2017,0,Total,52258,9919.0,"Census Tract 5031.12, Santa Clara County, CA",14000US06085503112
183,2017,2017,0,Total,58641,9483.0,"Census Tract 5031.13, Santa Clara County, CA",14000US06085503113
186,2017,2017,0,Total,107500,13728.0,"Census Tract 5031.15, Santa Clara County, CA",14000US06085503115
189,2017,2017,0,Total,76250,19278.0,"Census Tract 5031.16, Santa Clara County, CA",14000US06085503116
193,2017,2017,0,Total,53125,14487.0,"Census Tract 5031.17, Santa Clara County, CA",14000US06085503117
196,2017,2017,0,Total,68563,7401.000000000001,"Census Tract 5031.18, Santa Clara County, CA",14000US06085503118
199,2017,2017,0,Total,51038,5408.0,"Census Tract 5031.21, Santa Clara County, CA",14000US06085503121
203,2017,2017,0,Total,21908,2371.0,"Census Tract 5031.22, Santa Clara County, CA",14000US06085503122
206,2017,2017,0,Total,42747,3334.0,"Census Tract 5031.23, Santa Clara County, CA",14000US06085503123
209,2017,2017,0,Total,73026,20578.0,"Census Tract 5032.04, Santa Clara County, CA",14000US06085503204
213,2017,2017,0,Total,92768,9836.0,"Census Tract 5032.07, Santa Clara County, CA",14000US06085503207
216,2017,2017,0,Total,100000,17405.0,"Census Tract 5032.08, Santa Clara County, CA",14000US06085503208
219,2017,2017,0,Total,74839,11902.0,"Census Tract 5032.10, Santa Clara County, CA",14000US06085503210
223,2017,2017,0,Total,93409,20254.0,"Census Tract 5032.11, Santa Clara County, CA",14000US06085503211
226,2017,2017,0,Total,112250,13561.000000000002,"Census Tract 5032.12, Santa Clara County, CA",14000US06085503212
229,2017,2017,0,Total,50565,13342.0,"Census Tract 5032.13, Santa Clara County, CA",14000US06085503213
233,2017,2017,0,Total,42554,9908.0,"Census Tract 5032.14, Santa Clara County, CA",14000US06085503214
236,2017,2017,0,Total,67034,6971.0,"Census Tract 5032.17, Santa Clara County, CA",14000US06085503217
